id,enabled,interface,ip_addr,mac,cl_name,comment,gateway,dns1,dns2
95,"yes","lan1","192.168.2.39","bc:03:58:79:59:c3","","Zero%20SER7%20Wifi","192.168.2.1","",""
96,"yes","lan1","192.168.2.32","70:70:fc:03:07:e1","","零刻GTR7%20LAN1","192.168.2.1","",""
97,"yes","lan1","192.168.2.33","70:70:fc:03:07:e2","","零刻GTR7%20LAN2","192.168.2.1","",""
98,"yes","lan1","192.168.2.34","f4:6d:3f:a8:07:19","","零刻GTR7%20Wifi","192.168.2.1","",""
99,"yes","lan1","192.168.2.38","70:70:fc:04:56:8c","","Zero%20SER7%20LAN","192.168.2.1","",""
100,"yes","lan1","192.168.2.246","3c:55:db:72:f6:46","","极光电视盒子","192.168.2.1","",""
102,"yes","lan1","192.168.2.7","90:09:d0:4d:f6:0b","","SynologyNAS%20LAN1","192.168.2.1","",""
103,"yes","lan1","192.168.2.8","90:09:d0:4d:f6:0c","","SynologyNAS%20LAN2","192.168.2.1","",""
104,"yes","lan1","192.168.2.9","90:09:d0:4d:f6:0d","","SynologyNAS%20LAN3","192.168.2.1","",""
105,"yes","lan1","192.168.2.10","90:09:d0:4d:f6:0e","","SynologyNAS%20LAN4","192.168.2.1","",""
106,"yes","lan1","192.168.2.60","02:11:32:24:8c:9a","","Win10_downloadSvr","192.168.2.1","",""
107,"yes","lan1","192.168.2.61","36:d5:05:97:88:e3","","iStoreOS旁路由LAN1","192.168.2.1","",""
108,"yes","lan1","192.168.2.62","36:d5:05:97:88:e4","","iStoreOS旁路由LAN2","192.168.2.1","",""
109,"yes","lan1","192.168.2.212","7c:c2:94:17:0a:02","","旁路由供电插座","192.168.2.1","",""
110,"yes","lan1","192.168.2.247","3c:55:db:72:cf:36","","极光电视盒子LAN","192.168.2.1","",""
111,"yes","lan1","192.168.2.248","b8:fc:9a:0d:f6:73","","次卧乐视电视无线","192.168.2.1","",""
112,"yes","lan1","192.168.2.253","d4:f0:ea:7c:2f:9e","","客厅空调开关","192.168.2.1","",""
113,"yes","lan1","192.168.2.147","44:df:65:b5:8b:ae","","米家智能门锁","192.168.2.1","",""
114,"yes","lan1","192.168.2.19","00:e1:8c:24:8a:88","","联想小新笔记本","192.168.2.1","",""
115,"yes","lan1","192.168.2.146","c4:d8:d5:07:97:3c","--","机柜电子钟","192.168.2.1","",""
116,"yes","lan1","192.168.2.27","b8:27:eb:8f:f4:51","","BaltimorePi","192.168.2.1","",""
117,"yes","lan1","192.168.2.41","54:78:c9:de:69:66","","HIBY播放器","192.168.2.1","",""
118,"yes","lan1","192.168.2.254","cc:4d:75:b6:ae:2a","","小米天然气监控","192.168.2.1","",""
119,"yes","lan1","192.168.2.241","30:ed:a0:24:41:90","","ATS-Mini%20收音机","192.168.2.1","",""
